Transmission Link Flow
"Scenario: Baseline, Selected Months (7/12), Total selected months"
Acre-foot
"Transmission Link","Transmission Link from Withdrawal Node 12 to YCFC Hungry Hollow","Transmission Link from Withdrawal Node 15 to YCFC Dunnigan Hills","Transmission Link from Withdrawal Node 16 to YCFC Zamora","Transmission Link from Withdrawal Node 19 to YCFC East","Transmission Link from Withdrawal Node 4 to YCFC West",Sum
2024,5907.22,6075.46,47.7976,27477.9,91962.5,131471
2025,13708.5,11009.1,86.9991,31299.4,87173.3,143277
2026,7486.31,6338.38,36.3387,28158.4,95342.1,137361
Sum,27102,23422.9,171.135,86935.7,274478,412110
