observed data,
feet,
,Avg Depth to Water (ft)
Oct-98,32.40
Nov-98,30.07
Dec-98,29.43
Jan-99,29.62
Feb-99,37.11
Mar-99,24.71
Apr-99,24.40
May-99,40.71
Jun-99,53.91
Jul-99,58.28
Aug-99,55.98
Sep-99,46.55
Oct-99,50.45
Nov-99,35.00
Dec-99,31.64
Jan-00,37.47
Feb-00,35.69
Mar-00,27.21
Apr-00,42.22
May-00,35.09
Jun-00,48.22
Jul-00,49.99
Aug-00,46.81
Sep-00,54.82
Oct-00,46.67
Nov-00,33.31
Dec-00,36.87
Jan-01,34.23
Feb-01,37.66
Mar-01,27.89
Apr-01,31.37
May-01,42.19
Jun-01,63.10
Jul-01,56.31
Aug-01,66.26
Sep-01,46.99
Oct-01,41.33
Nov-01,38.25
Dec-01,45.27
Jan-02,31.61
Feb-02,27.71
Mar-02,30.07
Apr-02,28.92
May-02,46.62
Jun-02,49.73
Jul-02,61.11
Aug-02,59.40
Sep-02,51.19
Oct-02,38.70
Nov-02,36.19
Dec-02,51.82
Jan-03,48.94
Feb-03,28.52
Mar-03,28.68
Apr-03,26.76
May-03,28.84
Jun-03,51.33
Jul-03,67.95
Aug-03,57.25
Sep-03,52.17
Oct-03,36.75
Nov-03,36.20
Dec-03,39.54
Jan-04,49.75
Feb-04,32.74
Mar-04,26.18
Apr-04,30.69
May-04,32.50
Jun-04,73.35
Jul-04,54.37
Aug-04,47.61
Sep-04,43.88
Oct-04,34.25
Nov-04,26.14
Dec-04,29.16
Jan-05,43.50
Feb-05,31.14
Mar-05,26.54
Apr-05,23.53
May-05,58.20
Jun-05,43.83
Jul-05,51.61
Aug-05,50.77
Sep-05,46.87
Oct-05,34.45
Nov-05,33.82
Dec-05,27.00
Jan-06,23.16
Feb-06,23.41
Mar-06,26.63
Apr-06,23.50
May-06,25.05
Jun-06,36.44
Jul-06,34.70
Aug-06,43.33
Sep-06,41.12
Oct-06,32.33
Nov-06,36.97
Dec-06,43.63
Jan-07,32.89
Feb-07,42.78
Mar-07,23.48
Apr-07,34.17
May-07,48.61
Jun-07,93.25
Jul-07,46.18
Aug-07,67.57
Sep-07,60.84
Oct-07,33.72
Nov-07,36.63
Dec-07,49.22
Jan-08,50.84
Feb-08,29.66
Mar-08,29.44
Apr-08,34.41
May-08,43.87
Jun-08,52.24
Jul-08,66.83
Aug-08,88.30
Sep-08,67.44
Oct-08,35.84
Nov-08,45.26
Dec-08,60.60
Jan-09,58.03
Feb-09,56.33
Mar-09,32.05
Apr-09,31.06
May-09,45.48
Jun-09,47.53
Jul-09,47.16
Aug-09,45.92
Sep-09,50.47
Oct-09,44.86
Nov-09,35.08
Dec-09,34.83
Jan-10,68.60
Feb-10,64.60
Mar-10,27.40
Apr-10,35.77
May-10,39.42
Jun-10,65.57
Jul-10,44.94
Aug-10,71.62
Sep-10,57.25
Oct-10,43.79
Nov-10,39.04
Dec-10,70.95
Jan-11,34.54
Feb-11,47.66
Mar-11,38.12
Apr-11,32.60
May-11,35.47
Jun-11,44.48
Jul-11,50.85
Aug-11,57.15
Sep-11,98.10
Oct-11,40.69
Nov-11,57.85
Dec-11,70.60
Jan-12,35.94
Feb-12,60.74
Mar-12,41.09
Apr-12,40.22
May-12,33.59
Jun-12,79.28
Jul-12,75.54
Aug-12,57.45
Sep-12,80.62
Oct-12,43.89
Nov-12,41.95
Dec-12,65.12
Jan-13,41.65
Feb-13,47.06
Mar-13,36.14
Apr-13,48.01
May-13,63.74
Jun-13,49.78
Jul-13,51.93
Aug-13,46.41
Sep-13,41.37
Oct-13,38.20
Nov-13,53.23
Dec-13,43.10
Jan-14,41.22
Feb-14,49.52
Mar-14,39.70
Apr-14,33.82
May-14,42.78
Jun-14,55.77
Jul-14,53.78
Aug-14,58.16
Sep-14,55.16
Oct-14,52.93
Nov-14,51.67
Dec-14,41.19
Jan-15,42.76
Feb-15,43.69
Mar-15,45.73
Apr-15,49.01
May-15,50.73
Jun-15,50.32
Jul-15,49.45
Aug-15,56.55
Sep-15,54.60
Oct-15,55.23
Nov-15,49.84
Dec-15,48.65
Jan-16,40.12
Feb-16,42.31
Mar-16,44.82
Apr-16,47.44
May-16,56.21
Jun-16,50.16
Jul-16,59.72
Aug-16,61.00
Sep-16,53.97
Oct-16,51.26
Nov-16,40.67
Dec-16,42.23
Jan-17,38.74
Feb-17,42.12
Mar-17,28.73
Apr-17,32.95
May-17,17.17
Jun-17,42.78
Jul-17,31.98
Aug-17,45.06
Sep-17,41.90
Oct-17,41.80
Nov-17,41.46
Dec-17,40.40
Jan-18,42.35
Feb-18,27.62
Mar-18,35.19
Apr-18,35.19
May-18,17.20
Jun-18,54.06
Jul-18,47.94
Aug-18,42.51
Sep-18,45.76
Oct-18,38.57
Nov-18,37.02
Dec-18,36.62
Jan-19,25.93
Feb-19,30.46
Mar-19,29.00
Apr-19,28.01
May-19,25.62
Jun-19,44.42
Jul-19,37.97
Aug-19,39.58
Sep-19,39.88
Oct-19,39.50
Nov-19,43.11
Dec-19,38.24
Jan-20,35.17
Feb-20,34.07
Mar-20,33.78
Apr-20,27.57
May-20,54.57
Jun-20,58.76
Jul-20,52.80
Aug-20,47.85
Sep-20,47.06
Oct-20,44.56
Nov-20,33.59
Dec-20,30.79
Jan-21,35.59
Feb-21,25.30
Mar-21,38.47
Apr-21,36.80
May-21,55.87
Jun-21,62.03
Jul-21,61.15
Aug-21,58.52
Sep-21,56.94
Oct-21,57.47
Nov-21,43.36
Dec-21,46.45
Jan-22,40.94
Feb-22,35.38
Mar-22,48.28
Apr-22,40.96
May-22,49.24
Jun-22,55.63
Jul-22,56.21
Aug-22,62.08
Sep-22,55.56
Oct-22,51.72
Nov-22,50.97
Dec-22,58.58
Jan-23,55.60
Feb-23,49.95
Mar-23,44.72
Apr-23,42.38
May-23,34.46
Jun-23,46.79
Jul-23,46.72
Aug-23,54.90
Sep-23,48.56
Oct-23,41.64
Nov-23,49.15
Dec-23,56.80
Jan-24,39.47
Feb-24,44.78
Mar-24,37.76
Apr-24,35.12
May-24,32.54
Jun-24,41.45
Jul-24,45.14
Aug-24,51.77
Sep-24,45.18
Oct-24,48.02
Nov-24,66.86
Dec-24,43.96
Jan-25,41.39
Feb-25,40.70
Mar-25,36.14
Apr-25,41.92
May-25,34.18
Jun-25,45.75
Jul-25,45.78
Aug-25,44.88
Sep-25,42.98
Oct-25,51.74
Nov-25,27.20
Dec-25,15.90
Jan-26,26.20
Feb-26,20.72
Mar-26,11.40
