Key Assumptions
"Scenario: Baseline, Branch: Key Assumptions\Solano Decree\Allowable Seasonal Withdrawal"
 
Branch,"Allowable Seasonal Withdrawal (AF)"
"May 2024",150000
"May 2025",150000
"May 2026",136179
Sum,436179
