Acre-foot,,
Month,Clear Lake,Indian Valley
Oct,901383,116730
Nov,906432,116752
Dec,957797,130255
Jan,1028878,151946
Feb,1089282,169507
Mar,1106379,184254
Apr,1103239,183833
May,1080138,173809
Jun,1039870,157941
Jul,990333,141955
Aug,945650,129924
Sep,916223,121160
